id,tarih,ürün,ürün besin değeri,ürün kategorisi,ürün üretim yeri,market,şehir
0,2024-01-01,kıyma,120,et,Yurt içi,K,S
1,2024-01-01,tavuk,103,et,Yurt içi,K,S
2,2024-01-01,hindi,160,et,Yurt içi,K,S
3,2024-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,K,S
4,2024-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt içi,K,S
5,2024-01-01,Bamya,42,sebze ve bakliyat,Yurt içi,K,S
6,2024-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,K,S
7,2024-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,K,S
8,2024-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,K,S
9,2024-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,K,S
10,2024-01-01,Domates,25,sebze ve bakliyat,Yurt içi,K,S
11,2024-01-01,Enginar,63,sebze ve bakliyat,Yurt içi,K,S
12,2024-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,K,S
13,2024-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,K,S
14,2024-01-01,Havuç,42,sebze ve bakliyat,Yurt içi,K,S
15,2024-01-01,Salatalık,8,sebze ve bakliyat,Yurt içi,K,S
16,2024-01-01,Ispanak,25,sebze ve bakliyat,Yurt içi,K,S
17,2024-01-01,Kabak,19,sebze ve bakliyat,Yurt içi,K,S
18,2024-01-01,Karnabahar,25,sebze ve bakliyat,Yurt içi,K,S
19,2024-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,K,S
20,2024-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,K,S
21,2024-01-01,Lahana,24,sebze ve bakliyat,Yurt içi,K,S
22,2024-01-01,Mantar,16,sebze ve bakliyat,Yurt içi,K,S
23,2024-01-01,Marul,15,sebze ve bakliyat,Yurt içi,K,S
24,2024-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,K,S
25,2024-01-01,Nohut,376,sebze ve bakliyat,Yurt içi,K,S
26,2024-01-01,Pancar,42,sebze ve bakliyat,Yurt içi,K,S
27,2024-01-01,Patates,83,sebze ve bakliyat,Yurt içi,K,S
28,2024-01-01,Patlıcan,24,sebze ve bakliyat,Yurt içi,K,S
29,2024-01-01,Pazı,27,sebze ve bakliyat,Yurt içi,K,S
30,2024-01-01,Pırasa,52,sebze ve bakliyat,Yurt içi,K,S
31,2024-01-01,Semizotu,32,sebze ve bakliyat,Yurt içi,K,S
32,2024-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,K,S
33,2024-01-01,Bulgur,350,tahıl ve ürünleri,Yurt içi,K,S
34,2024-01-01,Erişte,390,tahıl ve ürünleri,Yurt içi,K,S
35,2024-01-01,Makarna,390,tahıl ve ürünleri,Yurt içi,K,S
36,2024-01-01,Mısır,351,tahıl ve ürünleri,Yurt içi,K,S
37,2024-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt içi,K,S
38,2024-01-01,Nişasta,353,tahıl ve ürünleri,Yurt içi,K,S
39,2024-01-01,Pilav,368,tahıl ve ürünleri,Yurt içi,K,S
40,2024-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,K,S
41,2024-01-01,Şehriye,390,tahıl ve ürünleri,Yurt içi,K,S
42,2024-01-01,Tarhana,329,tahıl ve ürünleri,Yurt içi,K,S
43,2024-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,K,S
44,2024-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,K,S
45,2024-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt içi,K,S
46,2024-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt içi,K,S
47,2024-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt içi,K,S
48,2024-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt içi,K,S
49,2024-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt içi,K,S
50,2024-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt içi,K,S
51,2024-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt içi,K,S
52,2024-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt içi,K,S
53,2024-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt içi,K,S
54,2024-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt içi,K,S
55,2024-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt içi,K,S
56,2024-01-01,Armut,57,meyve,Yurt içi,K,S
57,2024-01-01,Çilek,39,meyve,Yurt içi,K,S
58,2024-01-01,Elma,52,meyve,Yurt içi,K,S
59,2024-01-01,Erik türleri,60,meyve,Yurt içi,K,S
60,2024-01-01,İncir,80,meyve,Yurt içi,K,S
61,2024-01-01,Karadut,93,meyve,Yurt içi,K,S
62,2024-01-01,Karpuz,24,meyve,Yurt içi,K,S
63,2024-01-01,Kavun,28,meyve,Yurt içi,K,S
64,2024-01-01,Kayısı,54,meyve,Yurt içi,K,S
65,2024-01-01,Kiraz,79,meyve,Yurt içi,K,S
66,2024-01-01,Limon,17,meyve,Yurt içi,K,S
67,2024-01-01,Mandalina,36,meyve,Yurt içi,K,S
68,2024-01-01,Muz,90,meyve,Yurt içi,K,S
69,2024-01-01,Nar,77,meyve,Yurt içi,K,S
70,2024-01-01,Portakal,41,meyve,Yurt içi,K,S
71,2024-01-01,Şeftali,49,meyve,Yurt içi,K,S
72,2024-01-01,Üzüm,74,meyve,Yurt içi,K,S
73,2024-01-01,Vişne,57,meyve,Yurt içi,K,S
74,2024-01-01,fındık,110,kuruyemiş,Yurt içi,K,S
75,2024-01-01,fıstık,115,kuruyemiş,Yurt içi,K,S
76,2024-01-01,kaju,100,kuruyemiş,Yurt içi,K,S
77,2024-01-01,badem,110,kuruyemiş,Yurt içi,K,S
78,2024-01-01,ceviz,120,kuruyemiş,Yurt içi,K,S
79,2024-01-01,kıyma,120,et,Yurt dışı,K,S
80,2024-01-01,tavuk,103,et,Yurt dışı,K,S
81,2024-01-01,hindi,160,et,Yurt dışı,K,S
82,2024-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt dışı,K,S
83,2024-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt dışı,K,S
84,2024-01-01,Bamya,42,sebze ve bakliyat,Yurt dışı,K,S
85,2024-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt dışı,K,S
86,2024-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt dışı,K,S
87,2024-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt dışı,K,S
88,2024-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt dışı,K,S
89,2024-01-01,Domates,25,sebze ve bakliyat,Yurt dışı,K,S
90,2024-01-01,Enginar,63,sebze ve bakliyat,Yurt dışı,K,S
91,2024-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt dışı,K,S
92,2024-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt dışı,K,S
93,2024-01-01,Havuç,42,sebze ve bakliyat,Yurt dışı,K,S
94,2024-01-01,Salatalık,8,sebze ve bakliyat,Yurt dışı,K,S
95,2024-01-01,Ispanak,25,sebze ve bakliyat,Yurt dışı,K,S
96,2024-01-01,Kabak,19,sebze ve bakliyat,Yurt dışı,K,S
97,2024-01-01,Karnabahar,25,sebze ve bakliyat,Yurt dışı,K,S
98,2024-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt dışı,K,S
99,2024-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt dışı,K,S
100,2024-01-01,Lahana,24,sebze ve bakliyat,Yurt dışı,K,S
101,2024-01-01,Mantar,16,sebze ve bakliyat,Yurt dışı,K,S
102,2024-01-01,Marul,15,sebze ve bakliyat,Yurt dışı,K,S
103,2024-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt dışı,K,S
104,2024-01-01,Nohut,376,sebze ve bakliyat,Yurt dışı,K,S
105,2024-01-01,Pancar,42,sebze ve bakliyat,Yurt dışı,K,S
106,2024-01-01,Patates,83,sebze ve bakliyat,Yurt dışı,K,S
107,2024-01-01,Patlıcan,24,sebze ve bakliyat,Yurt dışı,K,S
108,2024-01-01,Pazı,27,sebze ve bakliyat,Yurt dışı,K,S
109,2024-01-01,Pırasa,52,sebze ve bakliyat,Yurt dışı,K,S
110,2024-01-01,Semizotu,32,sebze ve bakliyat,Yurt dışı,K,S
